SA2_MAINCODE_2016,Tot_P_M,Tot_P_F,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Category
102011028,0.0743379893,-0.0711656596,-0.1441446986,-0.0689274162,-0.1153072592,0.8344698071,0.9478998157,0.9151103475,0.8007251274,0.335938866,0.6853861653,-0.290188599,-0.9636138334,-0.7294771827,-0.6740784895,-0.8428781985,-0.902052468,-0.3766815651,0.3327259179,-0.1214296743,0.1617109895,0.856613697,0.3546177897,0.5904638714,0.5820285766,0.7613268435,0.0828585306,0.1422243615,0.0950699545,-0.0115837624,-0.3971559939,-0.2592711407,-0.4523451261,-0.7565332221,-0.6609765568,-0.0849648853,-0.2580167256,-0.2024553941,0.0417505027,0.4789340488,0.0995409403,0.0658981429,-0.0513423672,0.0491724966,-0.8084957928,-0.7754565983,-0.001736766,-0.6530810495,-0.6389360658,0.43600246,0.1189990631,-0.0462292304,0.013928215,1.0539644687,0.9741474738,1.0831385475,-0.7664879281,-1.0399868174,-0.9987499666,1.2036344807,1.1222187907,1.2366794747,-0.9334245957,-1.1604310209,-1.1273136728,0.5194988208,0.4902827097,0.6837093829,0.5869704692,1.4738339544,0.9847439943,0.7896015669,1.0054118327,0.9104519791,0.9009391416,0.5335658485,0.8245352288,-0.4314036738,-0.7380240045,-0.5747173975,-0.4682035088,0.1499062687,-0.2025017323,-0.0776263481,-0.1970459716,-0.1530669079,0.2331910655,0.3305470841,0.3112815603,0.3225780626,0.5563101526,0.4636358769,0.1359454822,-0.01499973,0.0172612983,-0.7394647278,-0.8164437596,-0.8157187587,-0.1971555609,-0.5225293313,-0.3699773458,0.2157791827,0.0495877311,0.1853298281,-0.1259127438,-0.2597291977,-0.1608883408,0.6226137181,-0.0107232922,0.0489139628,-0.0504924688,0.1851224782,-0.5472748431,0.2452059745,0.1492826285,0
102011029,-0.1435575312,0.166375263,-0.5118737538,-0.5131293872,-0.5751438437,0.0675942386,0.0531176398,0.013667487,0.02730838,0.176468646,0.1590765137,-0.6376582417,-0.9292276342,-0.9008971081,-0.8826874116,-0.8783211259,-1.0549934724,-0.579133399,-0.639463807,-0.7779153691,-0.033245732,0.2624361563,0.0020728315,0.9767263102,1.2312725181,1.3883259302,0.445319326,2.2801060811,0.9490428782,1.6301343876,0.886311641,1.2297237689,0.7565836713,0.0157945636,0.2814843351,-0.2255345842,0.0282971962,-0.1077604817,-0.0063334637,0.3325896168,0.0353194845,0.4947994832,0.6052594823,0.5414191874,1.0142946203,2.3623989906,1.8863837617,-0.6530810495,-0.6389360658,0.0448450344,0.5148700418,0.6856877184,0.5953647882,1.1108711779,1.1827849903,1.2272413004,-0.9255208521,-1.1299689603,-1.153380878,1.1738904227,1.2704718549,1.3001408487,-0.969815783,-1.2116154585,-1.1727527923,0.5225346383,0.7345398773,0.8574208668,0.2082256954,0.4311830276,0.2817201245,0.0703338517,0.1314210732,0.0332621534,-0.0829476153,0.4601220862,0.2098588223,-0.3997594417,-0.6601223938,-0.54296953,-0.6362110897,-0.641099037,-0.6777655816,-0.4496232013,-0.4737108007,-0.5043329721,0.1323396745,0.8464307594,0.3690887116,0.9064756813,1.1669966548,1.10061244,0.9690675125,1.1283963372,0.9888528399,-0.3249349271,-0.4071482025,-0.4024635187,-0.1712309727,-0.470102531,-0.3463461093,0.1925044782,0.3310932744,0.3496514044,-0.158666799,-0.2964707385,-0.1967218736,1.8462859523,-0.2951224458,-0.4790349154,-0.4284945178,-0.3787562667,-0.5472748431,-0.6155761039,-0.1988076712,0
102011030,0.4326256897,-0.4620653977,-0.6465258001,-1.2292581706,-0.9996502647,-0.2187384399,0.1255480891,-0.1541975606,0.2493284935,0.1782113042,0.2383014344,-0.7057679964,-0.5750725279,-0.7680743505,-0.6302987325,-0.6904453015,-0.8012701909,-0.4149927193,-0.9927885804,-0.8182196946,0.34721581,0.9561966112,0.5568498139,1.618279565,0.8642144583,1.5235597183,0.4171754712,0.8093015288,0.5858282268,1.2770338222,-0.3551999659,0.3699056628,-0.1136235008,-0.7202600811,-0.4669238975,0.3850090111,-0.5618212898,-0.0297820725,-0.0293688264,0.1586930616,-0.02297817,0.7207087498,0.5181913956,0.6227168802,1.6761550795,2.3928538027,0.5308691605,-0.6530810495,-0.6389360658,-0.8021024388,0.6805235493,0.5320418943,0.5736394234,1.0588994996,0.5504062023,0.8518282144,-0.8994057879,-1.1879644003,-1.1607850576,0.9932594912,0.6175917395,0.8504520763,-0.8113984082,-1.0229895618,-0.9861440086,0.5463681641,-0.0033443012,0.3473616762,-1.4099048042,-0.2816626175,-0.89475365,-0.3306267623,-0.1074541113,-0.3347052514,0.0527308959,0.0382337905,0.019092369,-0.9563107304,-0.6446425673,-0.7651338836,-0.8807013752,-0.4785907556,-0.7176974004,-0.8943400238,-0.8025331836,-0.9202615082,0.1737617152,0.4424262283,0.2775483245,1.54630793,0.7509808472,1.2215605676,1.5587564474,0.2973088425,0.8367499777,0.8811788398,-0.3914588189,0.2457740656,-0.1550553725,-0.3596418704,-0.2755256687,0.1898623046,-0.4904300677,-0.1929492911,-0.0112009657,0.1725998687,0.0239633116,1.6423405799,-0.5505707874,-0.298652382,-1.411299845,-0.3496152463,-0.5472748431,-0.5609531712,-0.1988076712,0
102011031,-0.5336056031,0.5704185635,-0.5433960215,-0.9799381264,-0.8212224023,-0.1304703089,0.0129996044,-0.1260341549,-0.0276319257,-0.0757426519,-0.0585623497,-0.6938574346,-0.7750143992,-0.8676742889,-0.7745630108,-0.8655596367,-0.9770254699,-0.816617711,-0.8990306016,-1.122371886,-0.1221805928,0.0422400202,-0.1404349558,0.3637601229,0.6794981172,0.6609868173,0.1730144877,1.9132878277,0.6077095625,2.3811086451,3.1024278646,2.8698949383,3.7918504991,3.6290124255,3.7366159415,-0.509843949,0.4952785879,-0.0061906646,-0.0665236746,0.2296958883,-0.0327130328,0.1872153346,0.2334679154,0.2065429083,0.3086151167,1.0941826518,0.3803035436,0.9226398127,0.4117422556,0.9280921533,0.1375842541,0.2746689102,0.2056934909,0.5301099387,0.9887056985,0.822561982,-0.758011798,-0.7799841304,-0.8710895044,0.7955240964,1.2119828334,1.0745427407,-0.8840459524,-1.0633157281,-1.0492751684,0.078858064,0.8028003447,0.5975679505,-0.2972167361,-0.8641350552,-0.6084605264,-0.1075097872,0.0553332359,-0.0938305787,0.1253932052,-0.0205099617,0.0545784194,-0.6392518337,-0.5680660575,-0.622608077,-0.5813618082,-0.5134733434,-0.5623582505,-0.6761788951,-0.6110798655,-0.7011128192,0.1184679843,0.4832754424,0.2261697149,0.4877156892,1.31019546,0.9528029442,0.9399439436,1.5564617775,1.1589004786,-0.248032534,0.1215634392,-0.0781874381,-0.1898570524,-0.4910611586,-0.3334645135,-0.4692468656,0.3012316663,-0.0220665647,-0.1144434655,0.0090051012,-0.0934493219,2.2541766971,-0.2951224458,-0.6198212829,-0.5796953373,-0.2825908993,-1.0386237899,-0.8755059219,-0.372852821,0
102011032,-0.221920518,0.2414816726,0.1195433276,-0.2353975644,-0.0280392442,-0.4067673765,-0.3059280533,-0.447960272,-0.4434537266,-0.2635591589,-0.4187689652,-0.1164564466,-0.0326507401,-0.1105068194,0.0629750984,-0.0339572596,0.0331680255,-0.2137536083,-0.2323786924,-0.3025350204,-0.0507214071,0.0255837911,-0.0876005454,0.2728182993,0.4373823192,0.4507595212,-0.011659765,0.5127336474,0.1015366054,0.3069122262,0.889492432,0.657769909,0.6856587382,1.0689209109,0.9643118584,-0.2436379316,0.1603304752,-0.0323890117,-0.0387022063,0.2056666891,-0.012429059,0.7685837162,0.7108008446,0.723971257,0.0204693422,-0.1808610507,0.2830228847,0.5162009315,-0.6389360658,-0.3206349712,0.7590642169,0.6418892045,0.7006317561,0.5841873585,0.7081749709,0.6960978674,-0.6633999302,-0.7003287561,-0.7718616688,0.6381522589,0.8136453998,0.7723762509,-0.6623305649,-0.7880475597,-0.7806358963,0.0088670045,0.3387878689,0.2240385268,-0.1919373547,-0.7361352799,-0.4361938343,-0.4100677427,-0.2951841268,-0.4505659444,-0.5512653347,-0.705667335,-0.6525499439,-0.4651247619,-0.396633733,-0.4534593915,0.1834423011,0.3903482345,0.3156498356,-0.3847757257,-0.3786742224,-0.4181583336,0.148181971,0.7335811329,0.3307803347,0.4261472705,0.8099572114,0.6568823979,0.6879474919,0.9175174277,0.741379146,-0.0557505876,0.0377722997,-0.0375862644,-0.1593970041,-0.4851240165,-0.304828691,-0.1342957826,0.118130122,0.041359363,-0.0573366575,0.1286209562,-0.0206667644,0.4186683457,-0.7498204939,-0.4262400276,-0.7989365257,-0.6045991748,-0.5472748431,-1.0205392262,-0.8949882705,0
102011033,0.1540783159,-0.1666346992,0.1800558857,0.6318161379,0.3904115632,0.6580268723,0.9868456685,0.8190773276,1.4196593637,0.7601986031,1.3330577305,0.583112108,-0.0567879615,0.2998939615,-0.3467749333,-0.5125451833,-0.5086538742,0.1305224379,0.2520253515,0.2073010781,0.1003915341,0.5676849122,0.1969103573,0.0776780093,-0.2212235003,-0.0735522877,-0.2948764018,-0.9667774427,-0.5089348812,-0.6600401323,-0.6029864091,-0.6766327669,-1.0327210452,-0.8933206871,-0.9294163757,0.1897244163,-0.1574244267,0.0799645284,-0.0692454989,-0.0648664905,-0.0935874837,1.5229530408,0.744391741,1.1007411537,2.8532955469,3.8938974036,5.6416870898,-0.6530810495,-0.6389360658,-0.8021024388,1.6217830325,0.7871208567,1.1656723533,1.139982342,0.9014166787,1.0845799851,-0.7976882609,-0.9945071454,-1.003406246,0.9799441743,0.9504636935,1.0208353986,-0.8211840361,-1.0085876501,-0.9868401185,0.4010492176,0.4215575985,0.5503003478,0.0638218618,1.4390028097,0.8562929515,0.7285415964,1.0555552456,0.8691354275,0.9037773589,1.3344837677,1.2418902939,-0.4054831644,-0.1418769775,-0.3041203356,-0.4364040355,-0.3636576458,-0.4130874315,-0.7931831208,-0.6723554317,-0.7891662124,0.3190011127,0.9704885051,0.5425051731,0.9523933364,0.7314241964,0.8887399709,0.5976436286,0.3312643151,0.3634394059,-0.2900638258,-0.5350853173,-0.4458500329,-0.1995303314,-0.3893724846,-0.2995006015,0.1487892978,0.1340044351,0.2007524856,-0.0718595583,-0.3705328576,-0.139260253,-0.6010585161,-0.380271893,-0.2062613283,-0.2772936982,-0.0902601646,-0.5472748431,0.1397272077,0.4973729282,0
102011034,-0.6596086263,0.7021258923,-0.6744340715,-0.2911521221,-0.5757282344,-0.007255424,0.0581528953,-0.0222160533,-0.2180386528,-0.0710022834,-0.178475967,-0.4555347404,-0.7578299611,-0.6922526639,-0.6496185679,-0.7750807112,-0.838977065,-0.6432426069,-0.8018579807,-0.9224558325,-0.2407186338,-0.1222628674,-0.2906417485,-0.1114307223,0.445024942,0.2202211643,0.1148799588,1.7097905078,0.4963093168,2.063086768,3.6188196603,3.0753088138,3.9344220873,3.6418607596,3.8444446444,-0.6020685505,0.6494695956,0.0204152365,-0.0798530222,0.1935757176,-0.0553397151,0.8147511032,0.609836074,0.6563252634,3.4543315097,2.2821625608,2.2406734414,1.6017381996,-0.6389360658,0.43583347,0.828581399,0.5442103342,0.7174815883,0.8400471282,1.4416427585,1.2325836704,-0.9987849808,-1.0315349741,-1.1542659723,0.9521385046,1.5188748288,1.3216930717,-0.9914190679,-1.2086230863,-1.1822007174,0.1659220975,1.1844156737,0.9241246947,-0.2244038306,0.7928014364,0.1811966092,0.1175460531,0.1836035709,0.0945917256,-0.3470285201,-0.1845869043,-0.2217646171,-0.6772824848,-0.6533705469,-0.6671007609,-0.7275536102,-0.4407544765,-0.6439310307,-0.930448969,-0.7952645873,-0.9426694866,0.2444358647,1.2185988913,0.5422335627,0.9683223711,1.7286975673,1.4357626643,1.1238916158,2.5044185327,1.7217535883,-0.0515641188,0.1853552459,0.0636817605,-0.2084861969,-0.5090729777,-0.3699825323,-0.3177523243,0.649609913,0.2805893014,-0.1634375207,-0.2344695913,-0.1859348744,1.8462859523,-0.4671243292,-0.7870050943,-0.7308961569,-0.7415619707,-0.5472748431,-1.2032435185,-0.5468979708,0
102011035,-0.1780506165,0.1762910902,0.025743247,0.3713239597,0.1657011084,0.3177318746,0.3555877222,0.310399048,0.5201871282,0.094133427,0.315394303,-0.1913229988,0.1127374694,-0.088682061,-0.2929320154,-0.4027351541,-0.4162000481,-0.1285504285,-0.2443818963,-0.2286962899,-0.0379448294,0.5594392682,0.0833775578,0.3250407457,0.9761008685,0.8149047193,0.0056542734,0.185269046,0.0362150238,-0.5836985723,-0.4112871173,-0.4830296749,-0.3629157686,-0.6058363033,-0.4690093,-0.1030236974,0.1236968416,0.0620187821,-0.1030423852,0.1236148345,-0.0800304208,1.3514221573,1.0882425003,1.1518466407,0.9515568156,0.9077978601,0.8006793161,-0.6530810495,-0.6389360658,-0.8021024388,1.2482472836,1.0431709574,1.1640577505,1.0854537107,1.1054227844,1.1674695412,-0.8661065225,-0.9823549785,-1.0414961033,1.0017778667,1.1427139097,1.1415050523,-0.8275907378,-1.0320142229,-0.9961789121,0.4759883373,0.7226085659,0.8101221081,0.8971705752,0.9203099696,0.799539012,0.3155565035,0.4869902961,0.3679613581,0.0952934366,-0.0185435487,-0.0160577043,-0.3271457899,-0.1322502393,-0.2269031542,-0.3636004819,0.0270381594,-0.1617761147,-0.6663497443,-0.5214143224,-0.6479741509,0.3124039669,1.5592762413,0.6716731396,0.8973765411,1.0473682994,1.0207262496,1.0048263237,0.5258971141,0.6767809222,-0.3075014649,-0.3168928177,-0.3522330573,-0.1007659463,-0.4119560174,-0.2308097647,0.2761872732,0.3633100777,0.420062177,-0.1760634659,-0.359612139,-0.2208433342,0.2147229733,-0.7498204939,-0.3734451397,-0.5796953373,-0.3743851136,-0.5472748431,-0.3386943413,0.1492826285,0
102011036,-0.0889530244,0.0847435703,-0.0775384873,0.1100936297,-0.0285743705,0.6652032439,0.6866897729,0.6767364576,0.5813769421,0.3497173239,0.5981688812,-0.2244221692,-0.2771935191,-0.304868283,-0.4715406093,-0.5438717463,-0.6093170728,-0.2012232405,-0.3377173234,-0.3236056584,0.0672371656,0.666253115,0.2073228453,0.5066723513,0.3920588945,0.5831197628,-0.0821735139,0.0899675787,-0.0519051133,-0.4605582839,-0.1571766308,-0.3213601842,0.2426156338,0.1765802227,0.2107210094,-0.0335482692,0.0867059891,0.0792676837,-0.0792190119,-0.0272692368,-0.0955342455,0.3762762635,0.0970293815,0.2449909492,0.6475122682,-0.7754565983,-0.0875727794,-0.6530810495,-0.6389360658,-0.8021024388,0.3509681939,0.1377436989,0.2705820697,1.1908408696,1.20057084,1.2762254365,-0.9369223642,-1.0969955254,-1.1452108711,1.1567939265,1.2131856383,1.2635571435,-0.928647559,-1.1376219175,-1.1132157735,0.5386595897,0.7275149796,0.8604937405,1.3109824977,0.3271030328,0.8600201602,0.6344996949,0.7558631852,0.6786842678,0.5664136804,0.7408213482,0.6913376105,-0.390467317,-0.3429580069,-0.3782796246,-0.3483230675,-0.1326867179,-0.2527624127,-0.5869100506,-0.5834634661,-0.6386413528,0.4099719737,1.3558823013,0.7281484499,0.8659389354,0.9451583185,0.9590610915,0.3172364043,0.8911936374,0.5260427014,-0.2498434428,-0.2540335202,-0.2753727575,-0.2048429687,-0.5408072248,-0.3819687194,0.2493990735,0.1865388326,0.2872019332,-0.1602705121,-0.2481587522,-0.1877819061,0.2147229733,-0.6357202346,-0.3690455658,-0.5040949275,-0.1354287463,-0.5472748431,-0.1390381043,0.3233277784,0
102011037,-0.1955867045,0.2134772627,-0.3786638341,-0.0546621574,-0.2286010329,0.1363152892,0.0871891336,0.0632095248,-0.4450639666,0.01386065,-0.2689756738,-0.8030129616,-0.7290518268,-0.8850865474,-0.5188149234,-0.6693317386,-0.6908316183,-0.2358027983,-0.2555781224,-0.2994419279,0.0002650172,0.5442929633,0.1200645248,0.4617788728,0.4603578964,0.5940499547,0.176007614,1.2127479808,0.4356597811,1.7575027587,1.3016424812,1.526859557,0.6224214017,0.4598793425,0.5213285488,-0.2049521723,0.2098511052,0.0407720058,-0.051842854,-0.023430042,-0.0574840409,-0.0900257604,0.4146033341,0.2437230341,1.0752087423,-0.7754565983,0.169567439,-0.6530810495,-0.6389360658,-0.8021024388,0.0049135372,0.4133241751,0.1841949176,0.9034932552,1.0254017913,1.0291296005,-0.7708585879,-0.8289254428,-0.9012913222,0.9979430221,1.1502700975,1.1435828052,-0.8462542383,-1.0197529084,-0.9992195598,0.4168975759,0.7302829591,0.7891932609,0.2239140204,0.8429447689,0.7562868594,0.1487800316,0.1977248834,0.1026473585,-0.2789282953,0.1064502295,-0.0776484603,-0.6979155587,-0.6187058389,-0.6474904711,-0.2986715891,0.0606553455,-0.1410020893,-0.4169926129,-0.3438891276,-0.4218870741,0.1953317723,0.563694901,0.3493841558,0.6451121051,1.0228852986,0.8802997819,0.9749729307,0.8093934706,0.8296019416,-0.2710537453,-0.4173943159,-0.4038812099,-0.1320460377,-0.4153244878,-0.3075197923,0.2540022434,0.4924428908,0.4735951316,-0.1713398973,-0.3826450743,-0.2271373083,1.2344498352,-0.6016604558,-0.4614366194,-0.4662947226,-0.3263024299,-0.5472748431,-0.624993851,-0.372852821,0
102011038,-0.2197880003,0.2316582257,0.2001286642,0.2366058082,0.2598296237,0.1822550534,0.3159064695,0.1747777388,-0.2659878879,0.1312418122,-0.0485371233,-0.5862103868,-0.5071692933,-0.625646065,-0.550170675,-0.6040748157,-0.6852657426,-0.3476798934,-0.4719276612,-0.5132746019,-0.1082675994,0.1920233374,-0.0894488181,0.4104172446,0.4423121012,0.5302338592,0.1619902577,1.2683011428,0.4429150248,1.5385101752,1.0252759291,1.2611883276,1.0926044363,0.6053493722,0.7244470516,-0.2953992965,0.1369384504,-0.0981326932,0.0011782618,0.2903517084,0.0292170693,0.0968471962,0.9334967313,0.5366481485,0.8653683209,0.8253701149,1.0497719689,1.7079581114,1.4601580376,2.6545719841,0.2573572422,0.9432249382,0.555485752,1.1730810738,1.3834019404,1.3695402115,-1.0457206215,-1.2926951163,-1.3071452212,1.1528747308,1.3496903613,1.3356048064,-0.9955633376,-1.2546777681,-1.2100007386,0.4752454922,0.8405183143,0.8963508678,0.5184931478,0.9145177459,0.601390545,0.1414488862,0.3703108101,0.2019364741,-0.3674670147,-0.0518916151,-0.2201610125,-0.5802966517,-0.6578183692,-0.6155972868,-0.6637796057,-0.2474333273,-0.5241590666,-0.7907185061,-0.752330137,-0.8367637431,0.099355698,1.6424204144,0.5122854386,1.0006100501,1.3066498809,1.2331245755,1.4258561756,1.3226377388,1.2939195617,-0.3105220828,-0.3918662319,-0.386833687,-0.1898952797,-0.5334666436,-0.3682006705,-0.0477584631,0.3581882881,0.239610088,-0.1679075006,-0.3646219713,-0.2196857859,0.8265590905,-0.2951224458,-0.3954430097,-0.3680141899,-0.3641857565,-0.5472748431,-0.634411598,-0.1988076712,0
102011039,-0.1305796712,0.1403926487,-0.2283981285,-0.2713699545,-0.2856437711,0.0779085656,0.0430763069,0.017136504,0.1160979296,0.1249586213,0.1704789694,-0.2432934425,-0.3506407234,-0.3292662981,-0.4055452877,-0.4377674126,-0.4955467106,-0.3519896907,-0.3742972018,-0.4723719059,-0.0574010135,0.3190532989,-0.0025818012,0.5845087138,0.9848383795,0.9676258444,0.2088928919,0.9725011252,0.4280773396,0.536466155,0.4207184809,0.4931574239,-0.1616382053,-0.4641052313,-0.3775368291,-0.2272852847,0.0055001631,-0.1351254169,0.0128569053,0.3472790641,0.0527710377,-0.1238737276,-0.0642988576,-0.0533129526,0.3593353196,-0.7754565983,0.0902303912,-0.6530810495,0.4594461632,0.7805548703,-0.0645743138,-0.0181012524,-0.0345772523,0.8756050848,0.9513545368,0.980780608,-0.7337204895,-0.8642185535,-0.8966261869,1.064857011,1.15593785,1.1837989641,-0.8828594568,-1.1149296587,-1.0736049594,0.3804834066,0.578684325,0.6530150421,0.4021875919,0.1554243271,0.2389535502,0.1330873892,0.0894172528,0.057196547,0.3299372302,0.2426311882,0.3173948459,-0.2705332852,-0.3244703348,-0.3007244762,-0.1133462753,-0.1416623399,-0.1362731236,-0.0357607994,-0.1005240093,-0.0792706096,0.1218120816,1.2360261112,0.4309385736,0.4523715258,0.7496003094,0.6420749092,0.0264988809,0.3228550352,0.1509609612,-0.6757737289,-0.7769463098,-0.7780921295,-0.1851367513,-0.5455984351,-0.363767229,0.100105187,0.2705630336,0.2585692088,-0.1224188812,-0.2049744755,-0.1449493232,0.8265590905,-0.0107232922,0.0137173709,0.1007083508,0.0729295496,-0.5472748431,0.0398990892,-0.1988076712,0
102011040,-0.3204625925,0.3492577155,-0.1520592376,-0.3660372302,-0.2792193257,-0.3421088264,-0.2511946661,-0.3821756313,-0.3715811357,-0.3040562372,-0.4340987747,-0.4510803452,-0.7142413959,-0.676807172,-0.623625018,-0.5862489934,-0.719301964,-0.4769760525,-0.505372298,-0.6372930102,-0.0847036655,-0.0559999552,-0.1342834313,0.3307218324,0.8602189936,0.7600012581,0.3191621483,2.0820902451,0.7867672698,1.7876926431,1.6954893179,1.7693186986,1.6920814063,1.6069314213,1.6661444616,-0.3916141914,0.2229475134,-0.1059511445,-0.007200542,0.3281770351,0.0349919007,1.2595824657,1.1711278299,1.2228498884,0.5130000768,0.172417751,0.0301817297,0.0459256696,0.189666443,0.0933511866,1.2131880184,1.1533467391,1.1955250384,0.859440094,1.1043286522,1.0549216695,-0.9523404976,-1.0966669794,-1.1540371084,0.9161986753,1.1679386381,1.1132085703,-0.9152218656,-1.123704342,-1.0971275883,0.1877408054,0.6758891517,0.5829971701,-0.1577562984,0.0363668767,-0.0682978102,-0.3540184523,-0.2453818318,-0.400569744,-0.6267471596,-0.8044439346,-0.7734900177,-0.8414077765,-0.7958951774,-0.831746987,-0.7016217467,-0.5443687166,-0.6441887405,-1.1300440753,-1.0491532164,-1.1851817357,0.1970932005,1.1606915901,0.4904015981,1.1393443669,1.5496114914,1.4345134174,1.8427832908,2.3178913073,1.9387697048,0.387743976,0.4411775538,0.424442911,-0.169294801,-0.4980300037,-0.3403832534,-0.1578030077,0.3069153751,0.1457942109,-0.1269794788,-0.1239611725,-0.1325150206,1.6423405799,-0.7208696818,-0.874996574,-0.6552957471,-0.9120369401,-0.5472748431,-1.2559829019,-0.7209431207,0
102011041,-0.0638543375,0.0733878978,0.1711818937,0.177787434,0.1861716018,0.7929339574,0.7243756307,0.7703377828,0.0939746206,0.218790136,0.2268542429,-0.4761557708,-0.5093147119,-0.5717554781,-0.6049601296,-0.5874524236,-0.7066964242,-0.2164860833,-0.0870300679,-0.2264552987,0.0486894228,0.148397558,0.0433962331,0.2482479153,0.5109935625,0.4582197877,0.0501406157,0.6180383337,0.1808947388,0.6277096187,0.1269761466,0.3295554715,0.421928108,-0.1868672511,-0.0023224357,-0.1875516046,-0.116799082,-0.1872705218,0.0240930252,0.4899882647,0.0878263186,0.3160025795,0.1470349738,0.2321387809,0.3896482005,0.3704075702,-0.2426061422,-0.6530810495,-0.6389360658,-0.8021024388,0.3119429501,0.1579488925,0.2199682166,1.2274940608,1.2626464153,1.330319448,-0.9975159832,-1.259033319,-1.2657273634,1.1898275215,1.2344911304,1.2920810605,-0.9714517436,-1.2162726409,-1.1777861501,0.5611266189,0.7353746437,0.8800997834,1.8285095858,0.9602209013,1.2900525898,0.8500664954,0.7457294935,0.8059200968,0.0488285039,0.6562987831,0.3391501507,-0.6247065343,-0.3362853954,-0.4718069712,-0.6309183175,-0.3337457171,-0.5448937197,-0.3929762552,-0.3689534859,-0.4159148456,0.1452732131,1.0149674747,0.386683073,0.5780151777,0.7543582443,0.7106749313,0.2053114499,0.3902090282,0.28605963,-0.5551847275,-0.6285387682,-0.6149336878,-0.2084972137,-0.5494957062,-0.36882579,0.13594127,0.1695487162,0.2119167818,-0.15296685,-0.3256374891,-0.1956044143,0.4186683457,-0.0107232922,0.0357152408,-0.1260928786,0.099156468,-0.5472748431,0.2131856346,0.1492826285,0
